,name,ci_start,ci_end,id,col,training_range_start,training_range_end,count,count_clean,count_severe,mean,mean_day,stdev,ci,ks_stat,ks_stat_p_value,uniform_dis_bool,error
0,North Atlantic,July 31,October 27,NA,BASIN,1851-06-25T00:00:00,2025-11-01T06:00:00,126461,55422,3391,256.0,September 13,22.0,"(np.float64(212.0832900475535), np.float64(299.970971232305))",0.3440749754521503,0.0,False,
1,Eastern North Pacific,June 7,November 5,EP,BASIN,1876-10-04T12:00:00,2025-10-29T18:00:00,65278,31687,1954,234.0,August 22,39.0,"(np.float64(158.2643762013519), np.float64(309.46745593784976))",0.17913662591247037,2.488869983473083e-55,False,
2,Western North Pacific,May 31,December 31,WP,BASIN,1959-09-08T00:00:00,2026-02-05T18:00:00,242337,28764,1287,259.0,September 16,55.0,"(np.float64(150.52315515810346), np.float64(366.57241593746767))",0.20818070818070816,2.103883089673924e-49,False,
3,North Indian,February 22,December 31,NI,BASIN,1982-05-01T03:00:00,2024-12-21T06:00:00,57596,6773,237,223.0,August 11,87.0,"(np.float64(52.94653123266298), np.float64(393.81296243822305))",0.45481522696712573,2.584525295010998e-45,False,
4,South Indian,,,SI,BASIN,1973-01-10T01:00:00,2025-04-23T00:00:00,164405,31779,939,122.0,May 2,115.0,"(np.float64(-103.28985735133672), np.float64(346.7509862118266))",,,,Confidence interval larger than a calendar year
5,Southern Pacific,,,SP,BASIN,1968-04-04T12:00:00,2025-05-12T12:00:00,68415,14033,394,89.0,March 30,97.0,"(np.float64(-101.58553545929932), np.float64(279.93578926640595))",,,,Confidence interval larger than a calendar year
6,South Atlantic,,,SA,BASIN,2004-03-25T18:00:00,2011-03-16T18:00:00,119,61,0,,,,,,,,Sample size is less than threshold at 0
7,Caribbean Sea,July 21,November 23,CS,SUBBASIN,1851-07-10T12:00:00,2025-10-29T07:20:00,15627,7010,640,264.0,September 21,32.0,"(np.float64(201.95004767191742), np.float64(326.5187023280826))",0.30669642857142854,6.136341662692115e-54,False,
8,Gulf of America,July 27,October 28,GM,SUBBASIN,1851-06-25T00:00:00,2025-06-30T02:00:00,13765,6439,524,254.0,September 11,24.0,"(np.float64(208.34745565530423), np.float64(300.56094129126063))",0.3371361462964516,1.2559886893656495e-53,False,
9,Central Pacific,June 27,October 19,CP,SUBBASIN,1950-08-12T00:00:00,2025-09-11T00:00:00,11372,5049,370,235.0,August 23,29.0,"(np.float64(177.74559131678126), np.float64(292.4219762507863))",0.2634392634392634,3.7670175335540886e-23,False,
10,Bay of Bengal,February 3,December 31,BB,SUBBASIN,1982-05-01T03:00:00,2024-12-21T06:00:00,42320,4481,141,212.0,July 31,91.0,"(np.float64(33.51568701094783), np.float64(390.59778816635713))",0.5319148936170213,9.016709380507409e-38,False,
11,Arabian Sea,March 28,December 31,AS,SUBBASIN,1982-07-15T03:00:00,2024-10-15T12:00:00,15276,2292,96,240.0,August 28,78.0,"(np.float64(87.10876272044976), np.float64(392.91207061288355))",0.4118589743589744,3.015813469175612e-15,False,
12,Western Australia,,,WA,SUBBASIN,1973-01-10T01:00:00,2025-04-23T00:00:00,50926,15538,536,133.0,May 13,113.0,"(np.float64(-88.69757029471705), np.float64(354.6826449215828))",,,,Confidence interval larger than a calendar year
13,Eastern Australia,January 1,August 22,EA,SUBBASIN,1971-12-23T23:00:00,2025-05-12T12:00:00,32412,5831,147,85.0,March 26,76.0,"(np.float64(-63.82107442767865), np.float64(234.25644857733852))",0.9319727891156463,5.0764982735340745e-172,False,
